Category	Metric	Value
filtered_out_genes	GENE498	SIGNIFICANCE_FILTER
filtered_out_genes	GENE499	SIGNIFICANCE_FILTER
filtered_out_genes	GENE500	SIGNIFICANCE_FILTER
filtered_out_genes	GENE501	SIGNIFICANCE_FILTER
filtered_out_genes	GENE502	SIGNIFICANCE_FILTER
filtered_out_genes	GENE503	SIGNIFICANCE_FILTER
filtered_out_genes	GENE504	SIGNIFICANCE_FILTER
filtered_out_genes	GENE505	SIGNIFICANCE_FILTER
filtered_out_genes	GENE506	SIGNIFICANCE_FILTER
filtered_out_genes	GENE507	SIGNIFICANCE_FILTER
filtered_out_genes	GENE510	SIGNIFICANCE_FILTER
filtered_out_genes	GENE512	SIGNIFICANCE_FILTER
filtered_out_genes	GENE513	SIGNIFICANCE_FILTER
filtered_out_genes	GENE514	SIGNIFICANCE_FILTER
filtered_out_genes	GENE515	SIGNIFICANCE_FILTER
filtered_out_genes	GENE516	SIGNIFICANCE_FILTER
filtered_out_genes	GENE518	SIGNIFICANCE_FILTER
filtered_out_genes	GENE519	SIGNIFICANCE_FILTER
filtered_out_genes	GENE520	SIGNIFICANCE_FILTER
filtered_out_genes	GENE522	SIGNIFICANCE_FILTER
filtered_out_genes	GENE524	SIGNIFICANCE_FILTER
filtered_out_genes	GENE525	SIGNIFICANCE_FILTER
filtered_out_genes	GENE526	SIGNIFICANCE_FILTER
filtered_out_genes	GENE527	SIGNIFICANCE_FILTER
filtered_out_genes	GENE528	SIGNIFICANCE_FILTER
filtered_out_genes	GENE529	SIGNIFICANCE_FILTER
filtered_out_genes	GENE530	SIGNIFICANCE_FILTER
filtered_out_genes	GENE531	SIGNIFICANCE_FILTER
filtered_out_genes	GENE534	SIGNIFICANCE_FILTER
filtered_out_genes	GENE535	SIGNIFICANCE_FILTER
filtered_out_genes	GENE537	SIGNIFICANCE_FILTER
filtered_out_genes	GENE539	SIGNIFICANCE_FILTER
filtered_out_genes	GENE540	SIGNIFICANCE_FILTER
filtered_out_genes	GENE541	SIGNIFICANCE_FILTER
filtered_out_genes	GENE543	SIGNIFICANCE_FILTER
filtered_out_genes	GENE544	SIGNIFICANCE_FILTER
filtered_out_genes	GENE545	SIGNIFICANCE_FILTER
filtered_out_genes	GENE546	SIGNIFICANCE_FILTER
filtered_out_genes	GENE547	SIGNIFICANCE_FILTER
filtered_out_genes	GENE548	SIGNIFICANCE_FILTER
filtered_out_genes	GENE549	SIGNIFICANCE_FILTER
filtered_out_genes	GENE550	SIGNIFICANCE_FILTER
filtered_out_genes	GENE551	SIGNIFICANCE_FILTER
filtered_out_genes	GENE553	SIGNIFICANCE_FILTER
filtered_out_genes	GENE555	SIGNIFICANCE_FILTER
filtered_out_genes	GENE557	SIGNIFICANCE_FILTER
filtered_out_genes	GENE558	SIGNIFICANCE_FILTER
filtered_out_genes	GENE559	SIGNIFICANCE_FILTER
filtered_out_genes	GENE560	SIGNIFICANCE_FILTER
filtered_out_genes	GENE561	SIGNIFICANCE_FILTER
filtered_out_genes	GENE562	SIGNIFICANCE_FILTER
filtered_out_genes	GENE564	SIGNIFICANCE_FILTER
filtered_out_genes	GENE565	SIGNIFICANCE_FILTER
filtered_out_genes	GENE566	SIGNIFICANCE_FILTER
filtered_out_genes	GENE568	SIGNIFICANCE_FILTER
filtered_out_genes	GENE571	SIGNIFICANCE_FILTER
filtered_out_genes	GENE572	SIGNIFICANCE_FILTER
filtered_out_genes	GENE574	SIGNIFICANCE_FILTER
filtered_out_genes	GENE576	SIGNIFICANCE_FILTER
filtered_out_genes	GENE578	SIGNIFICANCE_FILTER
filtered_out_genes	GENE579	SIGNIFICANCE_FILTER
filtered_out_genes	GENE580	SIGNIFICANCE_FILTER
filtered_out_genes	GENE582	SIGNIFICANCE_FILTER
filtered_out_genes	GENE583	SIGNIFICANCE_FILTER
filtered_out_genes	GENE584	SIGNIFICANCE_FILTER
filtered_out_genes	GENE586	SIGNIFICANCE_FILTER
filtered_out_genes	GENE587	SIGNIFICANCE_FILTER
filtered_out_genes	GENE588	SIGNIFICANCE_FILTER
filtered_out_genes	GENE589	SIGNIFICANCE_FILTER
filtered_out_genes	GENE590	SIGNIFICANCE_FILTER
filtered_out_genes	GENE591	SIGNIFICANCE_FILTER
filtered_out_genes	GENE592	SIGNIFICANCE_FILTER
filtered_out_genes	GENE593	SIGNIFICANCE_FILTER
filtered_out_genes	GENE594	SIGNIFICANCE_FILTER
filtered_out_genes	GENE595	SIGNIFICANCE_FILTER
filtered_out_genes	GENE596	SIGNIFICANCE_FILTER
filtered_out_genes	GENE597	SIGNIFICANCE_FILTER
filtered_out_genes	GENE598	SIGNIFICANCE_FILTER
filtered_out_genes	GENE600	SIGNIFICANCE_FILTER
filtered_out_genes	GENE601	SIGNIFICANCE_FILTER
filtered_out_genes	GENE602	SIGNIFICANCE_FILTER
filtered_out_genes	GENE603	SIGNIFICANCE_FILTER
filtered_out_genes	GENE604	SIGNIFICANCE_FILTER
filtered_out_genes	GENE606	SIGNIFICANCE_FILTER
filtered_out_genes	GENE607	SIGNIFICANCE_FILTER
filtered_out_genes	GENE608	SIGNIFICANCE_FILTER
filtered_out_genes	GENE610	SIGNIFICANCE_FILTER
filtered_out_genes	GENE613	SIGNIFICANCE_FILTER
filtered_out_genes	GENE614	SIGNIFICANCE_FILTER
filtered_out_genes	GENE615	SIGNIFICANCE_FILTER
filtered_out_genes	GENE616	SIGNIFICANCE_FILTER
filtered_out_genes	GENE618	SIGNIFICANCE_FILTER
filtered_out_genes	GENE621	SIGNIFICANCE_FILTER
filtered_out_genes	GENE622	SIGNIFICANCE_FILTER
filtered_out_genes	GENE623	SIGNIFICANCE_FILTER
filtered_out_genes	GENE624	SIGNIFICANCE_FILTER
filtered_out_genes	GENE625	SIGNIFICANCE_FILTER
filtered_out_genes	GENE626	SIGNIFICANCE_FILTER
filtered_out_genes	GENE627	SIGNIFICANCE_FILTER
filtered_out_genes	GENE628	SIGNIFICANCE_FILTER
filtered_out_genes	GENE630	SIGNIFICANCE_FILTER
filtered_out_genes	GENE631	SIGNIFICANCE_FILTER
filtered_out_genes	GENE634	SIGNIFICANCE_FILTER
filtered_out_genes	GENE635	SIGNIFICANCE_FILTER
filtered_out_genes	GENE636	SIGNIFICANCE_FILTER
filtered_out_genes	GENE637	SIGNIFICANCE_FILTER
filtered_out_genes	GENE638	SIGNIFICANCE_FILTER
filtered_out_genes	GENE639	SIGNIFICANCE_FILTER
filtered_out_genes	GENE642	SIGNIFICANCE_FILTER
filtered_out_genes	GENE643	SIGNIFICANCE_FILTER
filtered_out_genes	GENE644	SIGNIFICANCE_FILTER
filtered_out_genes	GENE646	SIGNIFICANCE_FILTER
filtered_out_genes	GENE648	SIGNIFICANCE_FILTER
filtered_out_genes	GENE649	SIGNIFICANCE_FILTER
filtered_out_genes	GENE651	SIGNIFICANCE_FILTER
filtered_out_genes	GENE652	SIGNIFICANCE_FILTER
filtered_out_genes	GENE654	SIGNIFICANCE_FILTER
filtered_out_genes	GENE655	SIGNIFICANCE_FILTER
filtered_out_genes	GENE656	SIGNIFICANCE_FILTER
filtered_out_genes	GENE659	SIGNIFICANCE_FILTER
filtered_out_genes	GENE660	SIGNIFICANCE_FILTER
filtered_out_genes	GENE661	SIGNIFICANCE_FILTER
filtered_out_genes	GENE663	SIGNIFICANCE_FILTER
filtered_out_genes	GENE664	SIGNIFICANCE_FILTER
filtered_out_genes	GENE665	SIGNIFICANCE_FILTER
filtered_out_genes	GENE666	SIGNIFICANCE_FILTER
filtered_out_genes	GENE667	SIGNIFICANCE_FILTER
filtered_out_genes	GENE668	SIGNIFICANCE_FILTER
filtered_out_genes	GENE669	SIGNIFICANCE_FILTER
filtered_out_genes	GENE670	SIGNIFICANCE_FILTER
filtered_out_genes	GENE671	SIGNIFICANCE_FILTER
filtered_out_genes	GENE672	SIGNIFICANCE_FILTER
filtered_out_genes	GENE674	SIGNIFICANCE_FILTER
filtered_out_genes	GENE676	SIGNIFICANCE_FILTER
filtered_out_genes	GENE677	SIGNIFICANCE_FILTER
filtered_out_genes	GENE679	SIGNIFICANCE_FILTER
filtered_out_genes	GENE680	SIGNIFICANCE_FILTER
filtered_out_genes	GENE681	SIGNIFICANCE_FILTER
filtered_out_genes	GENE682	SIGNIFICANCE_FILTER
filtered_out_genes	GENE684	SIGNIFICANCE_FILTER
filtered_out_genes	GENE685	SIGNIFICANCE_FILTER
filtered_out_genes	GENE687	SIGNIFICANCE_FILTER
filtered_out_genes	GENE688	SIGNIFICANCE_FILTER
filtered_out_genes	GENE689	SIGNIFICANCE_FILTER
filtered_out_genes	GENE690	SIGNIFICANCE_FILTER
filtered_out_genes	GENE691	SIGNIFICANCE_FILTER
filtered_out_genes	GENE692	SIGNIFICANCE_FILTER
filtered_out_genes	GENE693	SIGNIFICANCE_FILTER
filtered_out_genes	GENE694	SIGNIFICANCE_FILTER
filtered_out_genes	GENE695	SIGNIFICANCE_FILTER
filtered_out_genes	GENE696	SIGNIFICANCE_FILTER
filtered_out_genes	GENE697	SIGNIFICANCE_FILTER
filtered_out_genes	GENE698	SIGNIFICANCE_FILTER
filtered_out_genes	GENE699	SIGNIFICANCE_FILTER
filtered_out_genes	GENE702	SIGNIFICANCE_FILTER
filtered_out_genes	GENE703	SIGNIFICANCE_FILTER
filtered_out_genes	GENE704	SIGNIFICANCE_FILTER
filtered_out_genes	GENE705	SIGNIFICANCE_FILTER
filtered_out_genes	GENE706	SIGNIFICANCE_FILTER
filtered_out_genes	GENE707	SIGNIFICANCE_FILTER
filtered_out_genes	GENE708	SIGNIFICANCE_FILTER
filtered_out_genes	GENE709	SIGNIFICANCE_FILTER
filtered_out_genes	GENE710	SIGNIFICANCE_FILTER
filtered_out_genes	GENE712	SIGNIFICANCE_FILTER
filtered_out_genes	GENE714	SIGNIFICANCE_FILTER
filtered_out_genes	GENE715	SIGNIFICANCE_FILTER
filtered_out_genes	GENE716	SIGNIFICANCE_FILTER
filtered_out_genes	GENE718	SIGNIFICANCE_FILTER
filtered_out_genes	GENE720	SIGNIFICANCE_FILTER
filtered_out_genes	GENE721	SIGNIFICANCE_FILTER
filtered_out_genes	GENE722	SIGNIFICANCE_FILTER
filtered_out_genes	GENE724	SIGNIFICANCE_FILTER
filtered_out_genes	GENE725	SIGNIFICANCE_FILTER
filtered_out_genes	GENE726	SIGNIFICANCE_FILTER
filtered_out_genes	GENE727	SIGNIFICANCE_FILTER
filtered_out_genes	GENE728	SIGNIFICANCE_FILTER
filtered_out_genes	GENE731	SIGNIFICANCE_FILTER
filtered_out_genes	GENE733	SIGNIFICANCE_FILTER
filtered_out_genes	GENE735	SIGNIFICANCE_FILTER
filtered_out_genes	GENE736	SIGNIFICANCE_FILTER
filtered_out_genes	GENE737	SIGNIFICANCE_FILTER
filtered_out_genes	GENE738	SIGNIFICANCE_FILTER
filtered_out_genes	GENE739	SIGNIFICANCE_FILTER
filtered_out_genes	GENE742	SIGNIFICANCE_FILTER
filtered_out_genes	GENE743	SIGNIFICANCE_FILTER
filtered_out_genes	GENE746	SIGNIFICANCE_FILTER
filtered_out_genes	GENE747	SIGNIFICANCE_FILTER
filtered_out_genes	GENE748	SIGNIFICANCE_FILTER
filtered_out_genes	GENE749	SIGNIFICANCE_FILTER
filtered_out_genes	GENE750	SIGNIFICANCE_FILTER
filtered_out_genes	GENE751	SIGNIFICANCE_FILTER
filtered_out_genes	GENE752	SIGNIFICANCE_FILTER
filtered_out_genes	GENE754	SIGNIFICANCE_FILTER
filtered_out_genes	GENE755	SIGNIFICANCE_FILTER
filtered_out_genes	GENE756	SIGNIFICANCE_FILTER
filtered_out_genes	GENE757	SIGNIFICANCE_FILTER
filtered_out_genes	GENE758	SIGNIFICANCE_FILTER
filtered_out_genes	GENE759	SIGNIFICANCE_FILTER
filtered_out_genes	GENE761	SIGNIFICANCE_FILTER
filtered_out_genes	GENE762	SIGNIFICANCE_FILTER
filtered_out_genes	GENE764	SIGNIFICANCE_FILTER
filtered_out_genes	GENE765	SIGNIFICANCE_FILTER
filtered_out_genes	GENE766	SIGNIFICANCE_FILTER
filtered_out_genes	GENE768	SIGNIFICANCE_FILTER
filtered_out_genes	GENE770	SIGNIFICANCE_FILTER
filtered_out_genes	GENE771	SIGNIFICANCE_FILTER
filtered_out_genes	GENE772	SIGNIFICANCE_FILTER
filtered_out_genes	GENE773	SIGNIFICANCE_FILTER
filtered_out_genes	GENE774	SIGNIFICANCE_FILTER
filtered_out_genes	GENE776	SIGNIFICANCE_FILTER
filtered_out_genes	GENE777	SIGNIFICANCE_FILTER
filtered_out_genes	GENE779	SIGNIFICANCE_FILTER
filtered_out_genes	GENE780	SIGNIFICANCE_FILTER
filtered_out_genes	GENE781	SIGNIFICANCE_FILTER
filtered_out_genes	GENE782	SIGNIFICANCE_FILTER
filtered_out_genes	GENE783	SIGNIFICANCE_FILTER
filtered_out_genes	GENE784	SIGNIFICANCE_FILTER
filtered_out_genes	GENE785	SIGNIFICANCE_FILTER
filtered_out_genes	GENE789	SIGNIFICANCE_FILTER
filtered_out_genes	GENE790	SIGNIFICANCE_FILTER
filtered_out_genes	GENE791	SIGNIFICANCE_FILTER
filtered_out_genes	GENE793	SIGNIFICANCE_FILTER
filtered_out_genes	GENE794	SIGNIFICANCE_FILTER
filtered_out_genes	GENE795	SIGNIFICANCE_FILTER
filtered_out_genes	GENE796	SIGNIFICANCE_FILTER
filtered_out_genes	GENE797	SIGNIFICANCE_FILTER
filtered_out_genes	GENE798	SIGNIFICANCE_FILTER
filtered_out_genes	GENE799	SIGNIFICANCE_FILTER
filtered_out_genes	GENE800	SIGNIFICANCE_FILTER
filtered_out_genes	GENE802	SIGNIFICANCE_FILTER
filtered_out_genes	GENE803	SIGNIFICANCE_FILTER
filtered_out_genes	GENE806	SIGNIFICANCE_FILTER
filtered_out_genes	GENE807	SIGNIFICANCE_FILTER
filtered_out_genes	GENE809	SIGNIFICANCE_FILTER
filtered_out_genes	GENE810	SIGNIFICANCE_FILTER
filtered_out_genes	GENE811	SIGNIFICANCE_FILTER
filtered_out_genes	GENE812	SIGNIFICANCE_FILTER
filtered_out_genes	GENE813	SIGNIFICANCE_FILTER
filtered_out_genes	GENE814	SIGNIFICANCE_FILTER
filtered_out_genes	GENE815	SIGNIFICANCE_FILTER
filtered_out_genes	GENE816	SIGNIFICANCE_FILTER
filtered_out_genes	GENE817	SIGNIFICANCE_FILTER
filtered_out_genes	GENE818	SIGNIFICANCE_FILTER
filtered_out_genes	GENE819	SIGNIFICANCE_FILTER
filtered_out_genes	GENE820	SIGNIFICANCE_FILTER
filtered_out_genes	GENE822	SIGNIFICANCE_FILTER
filtered_out_genes	GENE824	SIGNIFICANCE_FILTER
filtered_out_genes	GENE826	SIGNIFICANCE_FILTER
filtered_out_genes	GENE827	SIGNIFICANCE_FILTER
filtered_out_genes	GENE828	SIGNIFICANCE_FILTER
filtered_out_genes	GENE830	SIGNIFICANCE_FILTER
filtered_out_genes	GENE831	SIGNIFICANCE_FILTER
filtered_out_genes	GENE832	SIGNIFICANCE_FILTER
filtered_out_genes	GENE833	SIGNIFICANCE_FILTER
filtered_out_genes	GENE834	SIGNIFICANCE_FILTER
filtered_out_genes	GENE835	SIGNIFICANCE_FILTER
filtered_out_genes	GENE838	SIGNIFICANCE_FILTER
filtered_out_genes	GENE840	SIGNIFICANCE_FILTER
filtered_out_genes	GENE841	SIGNIFICANCE_FILTER
filtered_out_genes	GENE842	SIGNIFICANCE_FILTER
filtered_out_genes	GENE844	SIGNIFICANCE_FILTER
filtered_out_genes	GENE845	SIGNIFICANCE_FILTER
filtered_out_genes	GENE846	SIGNIFICANCE_FILTER
filtered_out_genes	GENE848	SIGNIFICANCE_FILTER
filtered_out_genes	GENE849	SIGNIFICANCE_FILTER
filtered_out_genes	GENE850	SIGNIFICANCE_FILTER
filtered_out_genes	GENE851	SIGNIFICANCE_FILTER
filtered_out_genes	GENE852	SIGNIFICANCE_FILTER
filtered_out_genes	GENE853	SIGNIFICANCE_FILTER
filtered_out_genes	GENE854	SIGNIFICANCE_FILTER
filtered_out_genes	GENE855	SIGNIFICANCE_FILTER
filtered_out_genes	GENE856	SIGNIFICANCE_FILTER
filtered_out_genes	GENE857	SIGNIFICANCE_FILTER
filtered_out_genes	GENE859	SIGNIFICANCE_FILTER
filtered_out_genes	GENE860	SIGNIFICANCE_FILTER
filtered_out_genes	GENE861	SIGNIFICANCE_FILTER
filtered_out_genes	GENE862	SIGNIFICANCE_FILTER
filtered_out_genes	GENE864	SIGNIFICANCE_FILTER
filtered_out_genes	GENE865	SIGNIFICANCE_FILTER
filtered_out_genes	GENE867	SIGNIFICANCE_FILTER
filtered_out_genes	GENE868	SIGNIFICANCE_FILTER
filtered_out_genes	GENE869	SIGNIFICANCE_FILTER
filtered_out_genes	GENE870	SIGNIFICANCE_FILTER
